"Variable","Jurisdiction","Use","SubUse","Samples","Days","Average","Condition","Guideline","Unit","Comments","Date","URL","TableNumber"
"Nitrite","BC","Livestock",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Wildlife",NA,1,1,"mean",NA,"<= 100","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Wildlife",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Recreation",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Recreation",NA,1,1,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","16"
"Selenium ","BC","Drinking Water ",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 2","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Marine Life",NA,1,1,"mean",NA,"<= 2","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Wildlife",NA,1,1,"mean",NA,"<= 4","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Irrigation",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Livestock",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Silver","BC","Freshwater Life",NA,5,30,"mean","hardness less than or equal to 100 mg/L ","<= 0.05","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,1,1,"mean","hardness less than or equal to 100 mg/L ","<=0.1","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,5,30,"mean","hardness greater than 100 mg/L ","<=1.5","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,1,1,"mean","hardness greater than 100 mg/L ","<=3","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,5,30,"mean","open coast and estuaries","<=1.5","µg/L",NA,2006-01-08,"bc_pdf","29"
"Sulfolane","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 50","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulfolane","BC","Irrigation",NA,1,1,"mean",NA,"<= 8.4","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulfolane","BC","Livestock",NA,1,1,"mean",NA,"<= 14","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulphate","BC","Drinking",NA,1,1,"mean",NA,"<= 500","mg/L",NA,2006-01-08,"bc_pdf","36"
"Sulphate","BC","Freshwater Life ",NA,1,1,"maximum",NA,"<= 100","mg/L",NA,2006-01-08,"bc_pdf","36"
"Sulphate","BC","Freshwater Life ",NA,1,1," alert level",NA,"<= 50","mg/L",NA,2006-01-08,"bc_pdf","36"
"pH","CA","Recreation",NA,1,1,"mean","water / PCBs #126","<= 35","pH","?",2014-12-21,"http://www.hc-sc.gc.ca/ewh-semt/pubs/water-eau/guide_water-2012-guide_eau/index-eng.php",NA
"Total Phosphorus","BC","Drinking",NA,1,1,"mean",NA,"<= 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Total Phosphorus","BC","Aquatic life ",NA,1,1,"mean",NA,"5 ~ 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Total Phosphorus","BC","Recreation",NA,1,1,"mean",NA,"<= 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Toluene","BC","Drinking",NA,1,1,"mean",NA,"<=0.024","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Freshwater Life",NA,1,1,"mean",NA,"<=0.039","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Marine Life",NA,1,1,"mean",NA,"<=0.33","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Livestock",NA,1,1,"mean",NA,"<=0.024","mg/L",NA,2006-01-08,"bc_pdf","35"
"Turbidity","CA","Recreation",NA,1,1,"mean",NA,">= 5.0 & <= 9.0","NTU",NA,2014-12-21,"http://www.hc-sc.gc.ca/ewh-semt/pubs/water-eau/guide_water-2012-guide_eau/index-eng.php",NA
"Zinc","BC","Drinking",NA,1,1,"mean",NA,"<= 5000","µg/L",NA,2006-01-08,"bc_pdf","30"
"Zinc","BC","Recreation",NA,1,1,"mean",NA,"<= 5000","µg/L",NA,2006-01-08,"bc_pdf","30"
"Zinc","BC","Marine Life",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Livestock",NA,1,1,"mean",NA,"<= 2000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH less than 6 ","<= 1000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH equal to or greater than 6 and less than 7 ","<= 2000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH greater than or equal to 7 ","<= 5000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 33 + 0.75 x (hardness - 90) ","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Freshwater Life",NA,5,30,"mean",NA,"<= 7.5 + 0.75 x (hardness - 90) ","µg/L",NA,2006-01-08,"bc_pdf","33"
