variable_name,variable_group,paramShortName,constitAbbrev,paramGROUP
NITROGEN TOTAL KJELDAHL,NITROGEN,NITROGEN TOTAL KJELDAHL,N_TOT_KJELDAHL,NUTRIENTS
NITROGEN TOTAL ORGANIC,NITROGEN,NITROGEN TOTAL ORGANIC,N_TOT_ORG,NUTRIENTS
NITROGEN TOTAL ORGANIC (CALCD.),CALCULATED QUANTITIES,NITROGEN TOTAL ORGANIC (CALCD.),N_TOT_ORG,NUTRIENTS
OXYGEN DISSOLVED,OXYGEN,OXYGEN DISSOLVED,OXYGEN_DISS,PHYSICALS
PH,PHYSICALS,PH,PH,PHYSICALS
PH - FIELD,PHYSICALS,PH - FIELD,PH_FIELD,PHYSICALS
PHOSPHATE DISSOLVED ORTHO,PHOSPHORUS,PHOSPHORUS DISSOLVED ORTHO,P_DISS ORTHO,NUTRIENTS
PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS,PHOSPHORUS DISSOLVED ORTHO,P_DISS ORTHO,NUTRIENTS
PHOSPHORUS TOTAL,PHOSPHORUS,PHOSPHORUS TOTAL,PHOSPHORUS_TOT,NUTRIENTS
PHOSPHORUS TOTAL DISSOLVED,PHOSPHORUS,PHOSPHORUS TOTAL DISSOLVED,P_TOT_DISS,NUTRIENTS
PLATINUM DISSOLVED,"METALS, DISSOLVED",PLATINUM DISSOLVED,PLATINUM_DISS,METALS_DISSOLVED
PLATINUM EXTRACTABLE,"METALS, EXTRACTABLE",PLATINUM EXTRACTABLE,PLATINUM_EXT,METALS_EXTRACTABLE
PLATINUM TOTAL,"METALS, TOTAL",PLATINUM TOTAL,PLATINUM_TOT,METALS_TOTAL
POTASSIUM DISSOLVED,"IONS, MAJOR IONS",POTASSIUM,POTASSIUM,IONS
POTASSIUM EXTRACTABLE,"METALS, EXTRACTABLE",POTASSIUM,POTASSIUM,IONS
RESIDUE FIXED FILTERABLE,PHYSICALS,RESIDUE FIXED FILTERABLE,RESIDUE_FIXED_FILTERABLE,PHYSICALS
RESIDUE FIXED NONFILTRABLE,PHYSICALS,RESIDUE FIXED NONFILTRABLE,RESIDUE_FIXED_NONFILTRABLE,PHYSICALS
RESIDUE NONFILTRABLE,PHYSICALS,RESIDUE NONFILTRABLE,RESIDUE_NONFILTRABLE,PHYSICALS
RESIDUE TOTAL,PHYSICALS,RESIDUE TOTAL,RESIDUE_TOT,PHYSICALS
RUBIDIUM DISSOLVED,"METALS, DISSOLVED",RUBIDIUM DISSOLVED,RUBIDIUM_DISS,METALS_DISSOLVED
RUBIDIUM EXTRACTABLE,"METALS, EXTRACTABLE",RUBIDIUM EXTRACTABLE,RUBIDIUM_EXT,METALS_EXTRACTABLE
RUBIDIUM TOTAL,"METALS, TOTAL",RUBIDIUM TOTAL,RUBIDIUM_TOT,METALS_TOTAL
SALINITY,PHYSICALS,SALINITY,SALINITY,PHYSICALS
SELENIUM DISSOLVED,"METALS, DISSOLVED",SELENIUM DISSOLVED,SELENIUM_DISS,METALS_DISSOLVED
SELENIUM EXTRACTABLE,"METALS, EXTRACTABLE",SELENIUM EXTRACTABLE,SELENIUM_EXT,METALS_EXTRACTABLE
SELENIUM TOTAL,"METALS, TOTAL",SELENIUM TOTAL,SELENIUM_TOT,METALS_TOTAL
SILICA DISSOLVED,"IONS, MAJOR IONS",SILICA DISSOLVED,SILICA_DISS,IONS
SILICA REACTIVE,"IONS, MAJOR IONS",SILICA REACTIVE,SILICA REACTIVE,IONS
SILICON DISSOLVED,"IONS, MAJOR IONS",SILICON DISSOLVED,SILICON_DISS,IONS
SILICON EXTRACTABLE,"IONS, MAJOR IONS",SILICON EXTRACTABLE,SILICON_EXT,IONS
SILVER DISSOLVED,"METALS, DISSOLVED",SILVER DISSOLVED,SILVER_DISS,METALS_DISSOLVED
SILVER EXTRACTABLE,"METALS, EXTRACTABLE",SILVER EXTRACTABLE,SILVER_EXT,METALS_EXTRACTABLE
SILVER TOTAL,"METALS, TOTAL",SILVER TOTAL,SILVER_TOT,METALS_TOTAL
SODIUM EXTRACTABLE,"METALS, EXTRACTABLE",SODIUM,SODIUM,IONS
SODIUM DISSOLVED,"IONS, MAJOR IONS",SODIUM,SODIUM,IONS
SPECIFIC CONDUCTANCE,PHYSICALS,SPECIFIC CONDUCTANCE,SPC,PHYSICALS
SPECIFIC CONDUCTANCE - FIELD,PHYSICALS,SPECIFIC CONDUCTANCE - FIELD,SPC_FIELD,PHYSICALS
STRONTIUM DISSOLVED,"METALS, DISSOLVED",STRONTIUM DISSOLVED,STRONTIUM_DISS,METALS_DISSOLVED
STRONTIUM EXTRACTABLE,"METALS, EXTRACTABLE",STRONTIUM EXTRACTABLE,STRONTIUM_EXT,METALS_EXTRACTABLE
STRONTIUM TOTAL,"METALS, TOTAL",STRONTIUM TOTAL,STRONTIUM_TOT,METALS_TOTAL
SULPHATE,"IONS, MAJOR IONS",SULPHATE,SULPHATE,IONS
SULPHATE DISSOLVED,"IONS, MAJOR IONS",SULPHATE,SULPHATE,IONS
SULPHUR DISSOLVED,"METALS, DISSOLVED",SULPHUR DISSOLVED,SULPHUR_DISS,METALS_DISSOLVED
SULPHUR TOTAL,SULPHUR,SULPHUR TOTAL,SULPHUR_TOT,OTHER
THALLIUM DISSOLVED,"METALS, DISSOLVED",THALLIUM DISSOLVED,THALLIUM_DISS,METALS_DISSOLVED
THALLIUM EXTRACTABLE,"METALS, EXTRACTABLE",THALLIUM EXTRACTABLE,THALLIUM_EXT,METALS_EXTRACTABLE
THALLIUM TOTAL,"METALS, TOTAL",THALLIUM TOTAL,THALLIUM_TOT,METALS_TOTAL
TIN DISSOLVED,"METALS, DISSOLVED",TIN DISSOLVED,TIN_DISS,METALS_DISSOLVED
TIN EXTRACTABLE,"METALS, EXTRACTABLE",TIN EXTRACTABLE,TIN_EXT,METALS_EXTRACTABLE
TIN TOTAL,"METALS, TOTAL",TIN TOTAL,TIN_TOT,METALS_TOTAL
TITANIUM DISSOLVED,"METALS, DISSOLVED",TITANIUM DISSOLVED,TITANIUM_DISS,METALS_DISSOLVED
TITANIUM TOTAL,"METALS, TOTAL",TITANIUM TOTAL,TITANIUM_TOT,METALS_TOTAL
RESIDUE FILTERABLE,PHYSICALS,TOTAL DISSOLVED SOLIDS,TDS,PHYSICALS
TOTAL DISSOLVED SOLIDS,PHYSICALS,TOTAL DISSOLVED SOLIDS,TDS,PHYSICALS
TUNGSTEN DISSOLVED,"METALS, DISSOLVED",TUNGSTEN DISSOLVED,TUNGSTEN_DISS,METALS_DISSOLVED
TUNGSTEN EXTRACTABLE,"METALS, EXTRACTABLE",TUNGSTEN EXTRACTABLE,TUNGSTEN_EXT,METALS_EXTRACTABLE
TUNGSTEN TOTAL,"METALS, TOTAL",TUNGSTEN TOTAL,TUNGSTEN_TOT,METALS_TOTAL
TURBIDITY,PHYSICALS,TURBIDITY,TURBIDITY,PHYSICALS
TURBIDITY (FIELD),PHYSICALS,TURBIDITY - FIELD,TURBIDITY_FIELD,PHYSICALS
URANIUM DISSOLVED,"METALS, DISSOLVED",URANIUM DISSOLVED,URANIUM_DISS,METALS_DISSOLVED
URANIUM EXTRACTABLE,"METALS, EXTRACTABLE",URANIUM EXTRACTABLE,URANIUM_EXT,METALS_EXTRACTABLE
URANIUM TOTAL,"METALS, TOTAL",URANIUM TOTAL,URANIUM_TOT,METALS_TOTAL
VANADIUM DISSOLVED,"METALS, DISSOLVED",VANADIUM DISSOLVED,VANADIUM_DISS,METALS_DISSOLVED
VANADIUM EXTRACTABLE,"METALS, EXTRACTABLE",VANADIUM EXTRACTABLE,VANADIUM_EXT,METALS_EXTRACTABLE
VANADIUM TOTAL,"METALS, TOTAL",VANADIUM TOTAL,VANADIUM_TOT,METALS_TOTAL
TEMPERATURE WATER,PHYSICALS,WATER TEMPERATURE,TEMP_WATER,PHYSICALS
TEMPERATURE WATER (FIELD),PHYSICALS,WATER TEMPERATURE,TEMP_WATER,PHYSICALS
YTTRIUM DISSOLVED,"METALS, DISSOLVED",YTTRIUM DISSOLVED,YTTRIUM_DISS,METALS_DISSOLVED
YTTRIUM EXTRACTABLE,"METALS, EXTRACTABLE",YTTRIUM EXTRACTABLE,YTTRIUM_EXT,METALS_EXTRACTABLE
YTTRIUM TOTAL,"METALS, TOTAL",YTTRIUM TOTAL,YTTRIUM_TOT,METALS_TOTAL
ZINC DISSOLVED,"METALS, DISSOLVED",ZINC DISSOLVED,ZINC_DISS,METALS_DISSOLVED
ZINC EXTRACTABLE,"METALS, EXTRACTABLE",ZINC EXTRACTABLE,ZINC_EXT,METALS_EXTRACTABLE
ZINC TOTAL,"METALS, TOTAL",ZINC TOTAL,ZINC_TOT,METALS_TOTAL
ZIRCONIUM DISSOLVED,"METALS, DISSOLVED",ZIRCONIUM DISSOLVED,ZIRCONIUM_DISS,METALS_DISSOLVED
